idx,lam,sigma,gamma
50,0.12,0.123870461,107.946796428
50,0.08,0.041167228,107.916005824
50,0.05,-0.059653610,107.898089447
50,0.03,-0.171969286,107.895184676
50,0.02,-0.262209337,107.900877016
50,0.012,-0.376658149,107.914483720
50,0.008,-0.467847993,107.928852911
50,0.005,-0.573794166,107.948444875
50,0.003,-0.689216384,107.972594423
50,0.002,-0.781098444,107.993504152
50,0.0,-2.149998427,108.203319862
51,1.0,0.564121288,109.114850455
51,0.7,0.426191936,109.325613952
51,0.5,0.508618037,109.178930261
51,0.35,0.449064556,109.018656342
51,0.25,0.393966276,109.042352933
51,0.18,0.342617849,109.072663280
51,0.12,0.255929805,109.106121807
51,0.08,0.164174322,109.132661616
51,0.05,0.061791338,109.151142201
51,0.03,-0.043672109,109.159830850
51,0.02,-0.123831755,109.161468880
51,0.012,-0.220821907,109.159623719
51,0.0,-0.849137740,109.072673781
52,1.0,0.301222911,110.518333763
52,0.7,0.280582523,110.322525503
52,0.5,0.209319462,110.441564590
52,0.35,0.190658486,110.558772493
52,0.25,0.115442130,110.545864998
52,0.18,0.045725023,110.544029976
52,0.12,-0.025967296,110.556234058
52,0.08,-0.099847708,110.563966824
52,0.05,-0.195812797,110.562530207
52,0.03,-0.310418569,110.550727828
52,0.02,-0.406230314,110.535942338
52,0.012,-0.530660841,110.512373367
52,0.008,-0.631482561,110.490542275
52,0.005,-0.750188371,110.462286791
52,0.003,-0.881353340,110.428307945
52,0.002,-0.987179119,110.399055751
53,1.0,0.296573642,112.329124327
53,0.7,0.350010886,112.279875773
53,0.5,0.278378700,112.227165344
53,0.35,0.170403233,112.189713831
53,0.25,0.087253281,112.241447468
53,0.18,-0.003343339,112.273496169
53,0.12,-0.118706354,112.280562485
53,0.08,-0.235781788,112.274398757
53,0.05,-0.371885600,112.263526994
53,0.03,-0.519201501,112.250978174
53,0.02,-0.635677984,112.240767169
53,0.012,-0.782266837,112.227464617
53,0.008,-0.898823483,112.216504538
53,0.005,-1.034456123,112.203352375
53,0.003,-1.182764249,112.188546550
53,0.002,-1.301280491,112.176450185
54,1.0,0.325480387,114.078330495
54,0.7,0.404891100,114.019308578
54,0.5,0.393883973,114.014128991
54,0.35,0.316915443,114.082804531
54,0.25,0.176063588,114.090116277
54,0.18,0.042919124,114.088665434
54,0.12,-0.117434192,114.079538573
54,0.08,-0.266230144,114.068487455
54,0.05,-0.424649294,114.058645673
54,0.03,-0.585942689,114.052027194
54,0.02,-0.709709087,114.048823347
54,0.012,-0.863187730,114.046234396
54,0.008,-0.984240148,114.044786291
54,0.005,-1.124453938,114.043400606
54,0.003,-1.277198044,114.041989864
54,0.002,-1.398896662,114.040829196
55,1.0,0.273127528,115.838862317
55,0.7,0.582226948,116.049329931
55,0.5,0.546112299,116.088958914
55,0.35,0.318723727,115.977149203
55,0.25,0.205728145,115.938316004
55,0.18,0.086019327,115.901440530
55,0.12,-0.058657504,115.879330666
55,0.08,-0.194716084,115.874901895
55,0.05,-0.344257295,115.879615519
55,0.03,-0.501924900,115.889892675
55,0.02,-0.625914463,115.899780708
55,0.012,-0.782224644,115.913067579
55,0.008,-0.906865837,115.923678404
55,0.005,-1.052173535,115.935617666
55,0.003,-1.211119860,115.947850740
55,0.002,-1.337978629,115.956890034
56,1.0,0.554144692,117.392510884
56,0.7,-0.167384604,117.482570829
56,0.5,-0.200588563,117.599993098
56,0.35,-0.084367322,117.774909880
56,0.25,0.171682424,117.529565354
56,0.18,0.209671701,117.432786589
56,0.12,0.243023405,117.425957014
56,0.08,0.260780536,117.459694618
56,0.05,0.269612167,117.512667801
56,0.03,0.280009141,117.566869427
56,0.02,0.291161653,117.598337432
56,0.012,0.303823735,117.623124339
56,0.0,0.326825442,117.656350142
57,1.0,0.382297366,118.427416027
57,0.7,0.671776882,118.197183774
57,0.5,0.502440073,118.069030517
57,0.35,0.505965760,117.927497312
57,0.25,0.275763244,118.210965163
57,0.18,0.245006038,118.331393097
57,0.12,0.173811582,118.337957927
57,0.08,0.072640400,118.292826872
57,0.05,-0.068434059,118.227298028
57,0.03,-0.244286205,118.163006657
57,0.02,-0.393805708,118.125538457
57,0.012,-0.583840064,118.094897122
57,0.008,-0.732306594,118.079566027
57,0.005,-0.900981239,118.067928663
57,0.003,-1.080563581,118.060029729
57,0.002,-1.220812442,118.056100216
58,1.0,0.338907237,119.946137112
58,0.7,0.460356984,119.948624941
58,0.5,0.578028293,119.863320233
58,0.35,0.416276335,119.924155259
58,0.25,0.262774228,119.937175229
58,0.18,0.113322816,119.958330138
58,0.12,-0.049886429,119.990558077
58,0.08,-0.192490670,120.016191686
58,0.05,-0.341956507,120.033683172
58,0.03,-0.495266567,120.042067925
58,0.02,-0.614286672,120.044221929
58,0.012,-0.763315167,120.044121145
58,0.008,-0.881672091,120.043042186
58,0.005,-1.019349802,120.041521722
58,0.003,-1.169768389,120.040115775
58,0.002,-1.289794488,120.039431913
