n,gamma,a1_re,a1_im
102,172.280481771621,-1.27396237e+00,6.99782301e+00
103,173.442978836135,1.85261456e+00,7.97157041e+00
104,174.915088085401,9.67398252e-01,6.74551384e+00
105,176.597302141918,-4.41085422e+00,6.27223861e+00
106,177.701212574574,-4.32378293e+00,1.24832027e+01
107,178.362374908986,1.03047523e+01,4.54870089e+00
108,180.569310385286,-4.99756830e+00,6.30051527e+00
109,181.614913731704,1.01085833e+00,9.30432522e+00
110,182.916768328969,-7.76986587e-02,7.49354897e+00
111,184.115032375368,5.21035482e-01,8.30965644e+00
112,185.373996607700,2.36449604e+00,7.43507861e+00
113,187.068760590694,-2.50789484e+00,7.19387573e+00
114,188.271374332271,-1.09130046e+00,8.12841317e+00
115,189.491731492129,-1.97939691e+00,1.03750215e+01
116,190.371187610756,6.94814984e+00,6.36834378e+00
117,192.361137876056,-3.50373506e+00,6.36097651e+00
118,193.797072926147,-1.27791336e+01,1.25152637e+01
119,194.231883229361,1.49821997e+01,5.68497047e+00
120,196.132005654684,-3.93631216e+00,7.88596056e+00
121,197.113446221576,4.11210196e+00,8.56142327e+00
122,198.806475736147,-2.00276987e+00,7.03163748e+00
123,200.162039428699,-6.44344160e+00,9.24351522e+00
124,200.901617870769,6.56658900e+00,1.00521943e+01
125,202.260577995932,3.25250195e+00,6.68723537e+00
126,204.221070780158,-8.33934394e+00,7.03288606e+00
127,204.992003455098,4.44532026e+00,1.05996461e+01
128,206.411911047611,-2.12264515e+00,9.33005565e+00
129,207.317377481888,5.57335730e+00,7.45891771e+00
130,209.227752492648,-5.89577001e+00,8.39330514e+00
131,210.103185517399,4.73025975e+00,8.84266012e+00
132,211.833411820424,-8.35149206e+00,7.33402007e+00
133,212.537607537213,5.84485025e+00,1.23793876e+01
134,213.761842101278,4.94547986e+00,6.65660122e+00
135,215.793818382016,-8.02776971e+00,6.20164655e+00
136,216.703415266203,-7.33728331e-01,1.36963481e+01
137,217.581931418038,6.51469135e+00,7.48992920e+00
138,219.172670566944,-1.36169634e+00,8.38184221e+00
139,220.405621710637,1.18252633e+00,8.98957821e+00
140,221.928548507254,-3.04288303e+00,8.56130134e+00
141,223.003103180629,-3.99098176e-01,9.80527866e+00
142,224.122238487947,1.29908746e+00,1.03505278e+01
143,225.293261475205,3.87622689e+00,8.11126834e+00
144,226.988188488375,-2.79717790e+00,7.54571403e+00
145,228.405506297436,-1.15863319e+01,1.09334807e+01
146,228.959023632675,1.14991884e+01,1.09706118e+01
147,230.330130577805,3.11442789e+00,7.38284184e+00
148,232.100481747069,-6.11330313e+00,8.69192768e+00
149,233.048063745299,3.01478089e+00,1.09412788e+01
150,234.351787701833,-3.96212732e-02,7.96804132e+00
151,235.836218771141,-1.62084220e+01,1.54750064e+01
152,236.241560494476,2.08753516e+01,4.85336497e+00
153,238.537113049983,-8.89944528e+00,6.59324895e+00
154,239.338488135620,2.46544129e+00,1.24975007e+01
155,240.626711169393,-2.11065527e+00,1.15409089e+01
156,241.477920928211,7.24219299e+00,8.12470202e+00
157,243.228931179739,-2.77668762e+00,8.39333791e+00
158,244.513168583588,-2.80961912e+00,1.07586558e+01
159,245.564881380114,1.34855287e+00,1.03172134e+01
160,246.724058534725,8.27033680e-01,9.72181734e+00
161,247.995118582738,5.21073898e-01,1.07522951e+01
162,249.184508964885,3.32003570e+00,8.36799765e+00
163,251.086563150456,-1.54935429e+01,5.29314062e+00
164,251.636915839614,7.34969228e+00,1.86851200e+01
165,252.623445779668,8.07842910e+00,7.46190362e+00
166,254.314437350123,-1.49886603e+00,8.19468289e+00
167,255.837918049742,-9.68651383e+00,1.15562450e+01
168,256.504584947348,9.19565930e+00,1.01841370e+01
169,258.165262850351,-8.62655310e+00,1.02593921e+01
170,258.834470523525,9.55960317e+00,1.10328310e+01
171,260.430472134926,3.96871383e-02,8.87127029e+00
172,261.913614987650,-5.10662732e+00,9.58051285e+00
173,262.883617342461,3.30154486e-01,1.17032153e+01
174,264.054257888128,-8.54519462e-01,1.34105921e+01
175,264.932859141220,8.47844933e+00,7.41442549e+00
176,267.000651199715,-1.07735464e+01,7.04199309e+00
177,267.801446984602,1.88028097e+00,1.61446694e+01
178,268.783306062048,5.47593938e+00,8.86784715e+00
179,270.278087167482,-3.79487636e+00,1.06011365e+01
180,271.254983694449,4.65718134e+00,1.10217842e+01
181,272.755878601693,-8.15704741e-01,9.08706921e+00
182,274.171458312519,-7.75145800e+00,9.61627195e+00
183,275.033101236580,4.92272792e-01,1.70041362e+01
184,275.858946011083,1.04728957e+01,7.23790047e+00
185,277.772322638319,-5.70639403e+00,8.72567287e+00
186,278.803683887287,1.73726562e-01,1.20484823e+01
187,280.157144870975,-7.57921113e+00,1.32886030e+01
188,280.793106949409,1.07202020e+01,9.94116789e+00
189,282.379640463561,-1.44587801e+00,1.01169352e+01
190,283.604543433883,2.83626212e-01,1.11255660e+01
191,284.925595823417,-1.72834499e+00,1.03426128e+01
192,286.080233307717,-2.84056234e+00,1.12838931e+01
193,287.149424648242,-8.04592347e-01,1.59817080e+01
194,287.978476263321,1.04998858e+01,6.92050674e+00
195,290.252146995175,-2.35445009e+01,2.32815966e+00
196,290.677296323261,1.41114517e+01,2.27446062e+01
197,291.832024588845,4.73376718e+00,9.64897871e+00
198,293.202434177473,-1.42504244e+00,1.09192128e+01
199,294.327268451460,2.47441927e+00,1.11728953e+01
200,295.803470824719,-3.14159920e+00,1.06591519e+01
201,296.900666138855,-9.32717001e-01,1.14343838e+01
202,298.078874114892,-4.42959080e+00,1.43544962e+01
203,298.870320307078,9.54890158e+00,1.06971732e+01
204,300.434459850535,-1.59187715e-01,9.42025377e+00
205,301.919842528597,-7.15649886e+00,1.00913297e+01
206,302.917937583117,-4.15484184e+00,1.68235411e+01
207,303.661118040334,1.02486369e+01,1.06916914e+01
208,305.065208865419,1.79699299e+00,9.31877232e+00
209,306.795133963712,-1.74057347e+01,1.24925585e+01
210,307.286084936715,1.66730032e+01,1.19586554e+01
211,309.122483030422,-1.32891575e+01,8.27895451e+00
212,309.739907613975,7.68746411e+00,1.86281304e+01
213,310.823674960945,7.77565440e+00,9.12214786e+00
214,312.556366867561,-4.41396384e+00,9.00544158e+00
215,313.877942455068,-1.45782981e+01,1.41125429e+01
216,314.433165169289,1.34096411e+01,1.43864239e+01
217,315.734986124927,2.38702230e+00,1.08672358e+01
218,317.012318042233,9.99718364e-01,1.08038700e+01
219,318.456217256355,-4.40355401e+00,1.14049788e+01
220,319.579691297035,-3.26801081e+00,1.46760579e+01
221,320.406303644493,6.43157627e+00,1.07897858e+01
222,322.001967804490,-1.32825046e+01,1.57146989e+01
223,322.539117423792,1.74788622e+01,9.36798531e+00
224,324.518444673724,-8.13091133e+00,8.50577783e+00
225,325.474784044106,-3.68872061e+00,1.53651850e+01
226,326.458541219865,8.11105853e-01,1.76872787e+01
227,327.259931766512,1.12681215e+01,7.76715547e+00
228,329.200097937579,-1.02041245e+01,9.53478461e+00
229,330.036049590346,3.31241354e+00,1.62082142e+01
230,331.211402899582,1.60585198e+00,1.09893370e+01
231,332.572946528233,-1.11662270e+01,1.46383283e+01
232,333.181508328694,1.40962142e+01,1.24936845e+01
233,334.768699894679,-4.55001620e-01,1.05494044e+01
234,336.152717554433,-5.67653388e+00,1.16229309e+01
235,337.139663054777,-1.15334427e+00,1.42799299e+01
236,338.226282686037,-1.70201602e+00,1.73430193e+01
237,339.011252615200,1.16219733e+01,8.86266684e+00
238,340.841952352353,-6.31065515e+00,9.52840150e+00
239,342.026153183365,-1.01363658e+01,1.72147502e+01
240,342.685858237359,1.17885149e+01,1.25382034e+01
241,344.083666156569,-1.89463339e+00,1.15570296e+01
242,345.209775341346,-1.07219186e-01,1.49854762e+01
243,346.262760467102,5.63832990e+00,1.10952003e+01
244,347.924648114363,-8.31283812e+00,9.17700298e+00
245,348.981798388547,-1.72389597e+01,2.21931862e+01
246,349.434342456600,2.35424363e+01,1.03779844e+01
247,350.977213109309,1.41267758e+00,1.05679635e+01
248,352.391768243125,-3.73926977e+00,1.14096265e+01
249,353.693333325683,-1.18830059e+01,1.62053043e+01
250,354.301737741464,1.25124082e+01,1.32569503e+01
251,355.744440262597,-3.86941526e+00,1.35659371e+01
252,356.627647213767,7.13635025e+00,1.22718761e+01
253,358.288275092942,-8.08370865e+00,1.26809525e+01
254,359.096461192606,6.10115316e+00,1.30754415e+01
255,360.711041024559,-2.08771009e+01,1.05883615e+01
