n,gamma,a1_re,a1_im
240,362.278726921439,-1.68903494e+00,1.02047568e+01
241,363.510631948738,-1.20693008e+01,1.76955022e+01
242,363.995810691432,1.89909264e+01,6.77390306e+00
243,365.857127789801,-3.22709484e+00,1.04041660e+01
244,366.810722268315,5.48028385e+00,9.13336184e+00
245,368.547133840727,-4.45581501e+00,8.03334947e+00
246,369.861768120165,-9.22163716e+00,1.22393496e+01
247,370.648477039985,5.71115417e+00,1.34743612e+01
248,371.886714318709,-5.47490377e-01,1.05138346e+01
249,372.923515454527,1.77950416e+00,1.15561646e+01
250,374.199650944546,1.46264161e-01,1.33245165e+01
251,375.183325167447,7.44788308e+00,8.16790303e+00
252,376.910142482347,-2.34728602e+00,7.71856782e+00
253,378.485366030557,-1.53651142e+01,9.18602974e+00
254,379.133570192807,8.28886627e+00,1.75325660e+01
255,380.291499446651,3.45234120e+00,8.95226740e+00
256,381.670934364399,-5.77211707e+00,9.94153161e+00
257,382.735773845155,-4.95773501e+00,2.22321920e+01
258,383.330610096012,1.78922128e+01,2.69575467e+00
259,385.454292649275,-5.48775802e+00,7.55412471e+00
260,386.550910547178,-1.96976234e+00,1.21860008e+01
261,387.803689933328,-1.88232919e+00,1.20421918e+01
262,388.939389678555,-7.39376859e-01,1.12087785e+01
263,390.139296301331,-6.65704932e+00,1.34291550e+01
264,390.852647577212,9.17020858e+00,1.24463719e+01
265,392.263672334082,9.39842813e-01,1.20605997e+01
266,393.329782539818,5.65049183e+00,8.68644671e+00
267,395.108282525967,-6.53443074e+00,9.05859746e+00
268,396.059958299255,2.02097601e+00,1.19385808e+01
269,397.683354138915,-1.26801761e+01,9.90857522e+00
270,398.376731639567,4.75470525e+00,1.80312247e+01
271,399.294253475946,7.15365589e+00,9.19010366e+00
272,400.837915052000,-5.87751685e+00,1.22869944e+01
273,401.715988765472,7.02654859e+00,1.38726098e+01
274,402.905540808392,5.90294977e+00,7.40110156e+00
275,404.914695715248,-1.18146290e+01,5.60398301e+00
276,405.788360032993,-3.82477556e+00,1.93852346e+01
277,406.659595618201,8.21048470e+00,1.10501674e+01
278,408.189888096934,-8.23117376e+00,9.93761514e+00
279,408.916642092702,5.16742627e+00,1.48371870e+01
280,410.209277910752,4.72095518e-01,1.51929505e+01
281,411.116552474646,9.52117854e+00,7.74748469e+00
282,412.907615407565,-3.31202387e+00,8.06686321e+00
283,414.416948381421,-1.90586630e+01,1.20295244e+01
284,414.930404396119,1.59252948e+01,1.49376825e+01
285,416.549594736127,-5.47837584e+00,9.49319005e+00
286,417.504355724839,-3.96764474e+00,1.55254917e+01
287,418.364395217948,7.24210214e+00,1.49241827e+01
288,419.498294382452,6.66576345e+00,9.30916229e+00
289,421.107918030129,-2.77064133e+00,1.04318463e+01
290,422.194139267890,2.13298650e+00,1.07711708e+01
291,423.772624963261,-7.08968702e+00,9.62312297e+00
292,424.926356063216,-1.14683520e+01,1.75963912e+01
293,425.520636408191,1.33663302e+01,1.17298952e+01
294,426.975994157163,-4.32185376e+00,1.18625067e+01
295,427.878234282358,4.72106020e+00,1.41981687e+01
296,429.126152711303,3.26410184e+00,1.23917099e+01
297,430.292288905493,4.63615406e+00,8.69992748e+00
298,432.147158133781,-1.15968038e+01,7.52155492e+00
299,432.958752120863,1.13487893e+00,1.66693294e+01
300,434.342453684331,-1.16416934e+01,1.79035160e+01
301,434.831358460793,1.63697146e+01,8.09453786e+00
302,436.633939008390,-1.66755724e+01,1.03144024e+01
303,437.240633747278,1.25187289e+01,2.22459785e+01
304,438.224425158722,1.15461832e+01,5.38254223e+00
305,440.321387596748,-1.00579704e+01,6.94766762e+00
306,441.208822826611,-9.42466453e-01,1.64102348e+01
307,442.372384574965,9.08031190e-01,1.31233697e+01
308,443.606860842942,-3.04183350e+00,1.15443254e+01
309,444.680293102725,-6.18346059e+00,1.59584313e+01
310,445.422088567653,1.01297413e+01,1.39251907e+01
311,446.767324378939,2.43356909e+00,1.25168160e+01
312,447.906425254960,4.64642144e+00,9.73170514e+00
313,449.557184213544,-6.07016146e+00,9.90215265e+00
314,450.615416250905,-1.31953317e+00,1.38198937e+01
315,451.843221514932,-2.68338610e+00,1.26670433e+01
316,453.066725547017,-1.22308005e+01,1.63953133e+01
317,453.615470653080,1.45711652e+01,1.35179899e+01
318,454.945688553314,1.91775747e+00,1.15910503e+01
319,456.346117168353,-6.22002727e+00,1.73703532e+01
320,457.021726712959,1.41536366e+01,7.42740035e+00
321,459.018258658823,-7.76920905e+00,7.53987026e+00
322,460.160709095494,-1.08619441e+01,1.56905456e+01
323,460.988498639436,5.55621783e+00,1.81118801e+01
324,461.999304996366,5.14090884e+00,9.83267277e+00
325,463.604752415830,-2.78777778e+01,1.20420245e+01
326,463.978674161934,2.71080679e+01,1.94022176e+01
327,465.343832911808,5.93785901e+00,1.05332638e+01
328,466.726573092334,1.39736390e+00,9.22928550e+00
329,468.448664810618,-1.54663793e+01,8.33226529e+00
330,469.158857398639,4.55362355e+00,2.04856468e+01
331,470.287125595125,3.38475622e+00,1.19384339e+01
332,471.629920983835,-8.34308652e+00,1.14349475e+01
333,472.452455387089,1.31394126e+00,1.97292776e+01
