n,gamma,gamma_dps,source
152,322.14455867248293229883744500598854926037198020861,50,mpmath.zetazero (mpmath python)
153,323.46696955751205050621203041479516335676308717769,50,mpmath.zetazero (mpmath python)
154,324.86286605173961326498008699540040991980452105153,50,mpmath.zetazero (mpmath python)
155,327.44390126190545734346926381632070335669434825573,50,mpmath.zetazero (mpmath python)
156,329.03307168048093403361472757680394620369282560442,50,mpmath.zetazero (mpmath python)
157,329.95323972823386634389212218863146605832392163895,50,mpmath.zetazero (mpmath python)
158,331.47446758266342437566175386634482792321760031351,50,mpmath.zetazero (mpmath python)
159,333.64537852486985058496168308087942538086782643589,50,mpmath.zetazero (mpmath python)
160,334.21135483324438323240340795919249315418727702200,50,mpmath.zetazero (mpmath python)
161,336.84185042839068479465476291941188600720836856063,50,mpmath.zetazero (mpmath python)
162,338.33999285080661188625732608716320339091764356335,50,mpmath.zetazero (mpmath python)
163,339.85821672536354019232655093087399718319704424977,50,mpmath.zetazero (mpmath python)
164,341.04226111104656048259778459853691718733764747074,50,mpmath.zetazero (mpmath python)
165,342.05487751036358545140382509409805671518693066540,50,mpmath.zetazero (mpmath python)
166,344.66170294025233704418118809819918578271524240282,50,mpmath.zetazero (mpmath python)
167,346.34787056600994739593645981615193389819673544346,50,mpmath.zetazero (mpmath python)
168,347.27267758442048447579709488806997967608092845686,50,mpmath.zetazero (mpmath python)
169,349.31626087069614412315555573399372133608890556224,50,mpmath.zetazero (mpmath python)
170,350.40841934919209918767195323448723446964587366433,50,mpmath.zetazero (mpmath python)
171,351.87864902535928043671339307659693272993031966959,50,mpmath.zetazero (mpmath python)
172,353.48890048871880678360376860943531841334326512989,50,mpmath.zetazero (mpmath python)
173,356.01757497726494731796036196076644267571444554719,50,mpmath.zetazero (mpmath python)
174,357.15130225203962480960292823229035661175708118512,50,mpmath.zetazero (mpmath python)
175,357.95268510163227375512891898277744282346638471414,50,mpmath.zetazero (mpmath python)
176,359.74375495311444879929198597699029540537374576130,50,mpmath.zetazero (mpmath python)
177,361.28936169580465039029131122771522819087594163800,50,mpmath.zetazero (mpmath python)
178,363.33133057897383474733444956661473127003524575875,50,mpmath.zetazero (mpmath python)
179,364.73602411408899371626210212694040001720230030569,50,mpmath.zetazero (mpmath python)
180,366.21271028833131686107714519680657417910937537986,50,mpmath.zetazero (mpmath python)
181,367.99357548174030332618329804420784639902488201852,50,mpmath.zetazero (mpmath python)
182,368.96843809573438989157690129989191063819441378071,50,mpmath.zetazero (mpmath python)
183,370.05091921210600033965116306126661142246659393377,50,mpmath.zetazero (mpmath python)
184,373.06192837211283844911939643128539190294177274231,50,mpmath.zetazero (mpmath python)
185,373.86487391090856974475636273365946094967850792226,50,mpmath.zetazero (mpmath python)
186,375.82591276673933410790771414669302575292966667436,50,mpmath.zetazero (mpmath python)
187,376.32409223066805211719081961242757961296202668498,50,mpmath.zetazero (mpmath python)
188,378.43668024996547972409096591320352055631653093876,50,mpmath.zetazero (mpmath python)
189,379.87297534653234665102405969044627156810915696804,50,mpmath.zetazero (mpmath python)
190,381.48446861718652491966252242365739536579919838504,50,mpmath.zetazero (mpmath python)
191,383.44352944953648770434575548072253690419931105651,50,mpmath.zetazero (mpmath python)
192,384.95611681486368710375158420879351339027092915012,50,mpmath.zetazero (mpmath python)
193,385.86130084597422918056195935980325761561180656102,50,mpmath.zetazero (mpmath python)
194,387.22289022238798097594851473810981409096403929671,50,mpmath.zetazero (mpmath python)
195,388.84612835423225460080942030037355805735540585794,50,mpmath.zetazero (mpmath python)
196,391.45608356363804577057822812255413477222587011407,50,mpmath.zetazero (mpmath python)
197,392.24508333951909674901518417099288056236218844514,50,mpmath.zetazero (mpmath python)
198,393.42774384443402593669895292012886992049292892035,50,mpmath.zetazero (mpmath python)
199,395.58287001099372097087771132314164213607024391036,50,mpmath.zetazero (mpmath python)
200,396.38185422259218693199945449173052906376159968810,50,mpmath.zetazero (mpmath python)
201,397.91873620961424338698117971079868380448340129118,50,mpmath.zetazero (mpmath python)
202,399.98511987619489950591729986828964577063890996139,50,mpmath.zetazero (mpmath python)
203,401.83922860053321653991130437828723072640040039326,50,mpmath.zetazero (mpmath python)
